kind,k,skipped,copied_from_k,epsilon_k,risk,value,slack,time_s,bypass,primary_obj,primary_bound,primary_gap_pct,status,infeasible
grid,20,False,,96736.1,95682.55,25060.03432831,1053.55,585.4622991085052,0,24351.903470250432,24372.841438566214,0.08598082832153603,Optimal,False
grid,19,False,,92597.42000000001,92296.75,24891.30330996,300.67000000001457,458.7929651737213,0,24215.83948719034,24233.931811286955,0.07471276850090353,Optimal,False
grid,18,False,,88458.74,88291.0,24561.36182424,167.74,520.8266589641571,0,23931.98731340024,23944.61418419019,0.052761480376017945,Optimal,False
grid,17,False,,84320.06,84169.25,24172.2031874,150.81,525.440062046051,0,23588.837226550328,23605.16639035293,0.06922411497342859,Optimal,False
grid,16,False,,80181.38,80096.75,23589.24083157,84.63,434.1059229373932,0,23053.96606480022,23066.98042992025,0.05645174059617208,Optimal,False
grid,15,False,,76042.70000000001,75995.25,22862.45616861,47.450000000014555,418.99367809295654,0,22375.58984208036,22384.083676371,0.0379602698770653,Optimal,False
grid,14,False,,71904.02,71833.5,22076.03633277,70.52,476.8054220676422,0,21635.92428328023,21649.053118703447,0.060680723648872226,Optimal,False
grid,13,False,,67765.34,67690.5,21265.63951166,74.84,357.30391907691956,0,20869.76751348025,20884.204512240187,0.0691766151712675,Optimal,False
grid,12,False,,63626.66,63535.5,20428.50243543,91.16,498.5828449726105,0,20074.90558198033,20093.146849267116,0.09086601783651979,Optimal,False
grid,11,False,,59487.98,59413.5,19574.24429017,74.48,374.94114804267883,0,19262.13201174026,19277.566548601793,0.08012891227266487,Optimal,False
grid,10,False,,55349.3,55268.0,18702.62164609,81.3,579.6101310253143,0,18431.579674360273,18448.591337604656,0.09229628466434094,Optimal,False
grid,9,False,,51210.62,51204.0,17844.55837432,6.62,527.4186761379242,0,17613.97170562036,17616.033510214984,0.011705506452965144,Optimal,False
grid,8,False,,47071.94,47057.0,16965.45216703,14.94,388.93264293670654,0,16776.207503260324,16779.892984271843,0.0219684992022305,Optimal,False
grid,7,False,,42933.26,42924.0,16085.76870709,9.26,414.54675817489624,0,15937.47540250995,15940.120869768067,0.016599035865492655,Optimal,False
grid,6,False,,38794.58,38780.5,15199.67659406,14.08,397.5234360694885,0,15092.393175619849,15096.219136873851,0.025350262277706592,Optimal,False
grid,5,False,,34655.9,34645.0,14297.83603379,10.9,505.8177878856659,0,14227.040710849858,14230.522697880979,0.024474429376341467,Optimal,False
grid,4,False,,30517.22,30505.0,13336.01469333,12.22,493.66855907440186,0,13295.712785379887,13299.744507891832,0.030323477778329548,Optimal,False
grid,3,False,,26378.54,26373.0,12300.05872519,5.54,301.336021900177,0,12278.365698569945,12280.807023412772,0.019883141639206115,Optimal,False
grid,2,False,,22239.86,22208.3,11163.74359981,31.560000000000002,348.03241205215454,0,11152.05185302998,11161.796454516054,0.0873794492215057,Optimal,False
grid,1,False,,18101.18,18097.1,9942.72532514,4.080000000003638,406.9097898006439,0,9935.272733699976,9937.432947380625,0.02174287247617596,Optimal,False
grid,0,False,,13962.5,13962.5,7935.53903199,0.0,215.4273808002472,0,7932.363888990055,7932.927652377162,0.0071071296652177,Optimal,False
